maryann.girl.hut	maryann.girl.hut	5393
maryann.girl.hut	ginger.girl.hut	1803
skipper.crew.hut	laser3.copyroom.hut	4420
professor.hut	skipper.crew.hut	9926
ginger.girl.hut	skipper.crew.hut	4084
fileserver.copyroom.hut	ginger.girl.hut	9075
maryann.girl.hut	gilligan.crew.hut	7161
gilligan.crew.hut	ginger.girl.hut	1723
maryann.girl.hut	gilligan.crew.hut	4492
professor.hut	gilligan.crew.hut	9204
maryann.girl.hut	skipper.crew.hut	4394
gilligan.crew.hut	fileserver.copyroom.hut	3833
laser3.copyroom.hut	fileserver.copyroom.hut	9589
fileserver.copyroom.hut	skipper.crew.hut	4457
skipper.crew.hut	gilligan.crew.hut	1837
fileserver.copyroom.hut	gilligan.crew.hut	3476
maryann.girl.hut	laser3.copyroom.hut	7374
ginger.girl.hut	maryann.girl.hut	3378
gilligan.crew.hut	skipper.crew.hut	1839
fileserver.copyroom.hut	fileserver.copyroom.hut	1512
skipper.crew.hut	ginger.girl.hut	5332
laser3.copyroom.hut	gilligan.crew.hut	8086
ginger.girl.hut	gilligan.crew.hut	4787
gilligan.crew.hut	skipper.crew.hut	2090
fileserver.copyroom.hut	fileserver.copyroom.hut	7442
laser3.copyroom.hut	skipper.crew.hut	2166
gilligan.crew.hut	gilligan.crew.hut	3065
skipper.crew.hut	laser3.copyroom.hut	1963
laser3.copyroom.hut	skipper.crew.hut	9478
ginger.girl.hut	fileserver.copyroom.hut	5754
laser3.copyroom.hut	maryann.girl.hut	6878
skipper.crew.hut	fileserver.copyroom.hut	1184
skipper.crew.hut	professor.hut	9202
professor.hut	ginger.girl.hut	8648
ginger.girl.hut	laser3.copyroom.hut	3242
professor.hut	professor.hut	9300
laser3.copyroom.hut	skipper.crew.hut	1152
gilligan.crew.hut	ginger.girl.hut	4037
maryann.girl.hut	professor.hut	8785
maryann.girl.hut	maryann.girl.hut	9111
fileserver.copyroom.hut	laser3.copyroom.hut	955
skipper.crew.hut	laser3.copyroom.hut	7067
skipper.crew.hut	gilligan.crew.hut	5585
laser3.copyroom.hut	laser3.copyroom.hut	7622
fileserver.copyroom.hut	laser3.copyroom.hut	8454
professor.hut	laser3.copyroom.hut	5542
laser3.copyroom.hut	professor.hut	7547
maryann.girl.hut	maryann.girl.hut	546
fileserver.copyroom.hut	fileserver.copyroom.hut	9409
laser3.copyroom.hut	fileserver.copyroom.hut	7599
laser3.copyroom.hut	skipper.crew.hut	4227
maryann.girl.hut	fileserver.copyroom.hut	165
professor.hut	gilligan.crew.hut	1285
